STATUS | wrapper  | 2016/02/23 16:01:13 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2016/02/23 16:01:13 | Java Service Wrapper Community Edition 32-bit 3.5.25
STATUS | wrapper  | 2016/02/23 16:01:13 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/02/23 16:01:13 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2016/02/23 16:01:13 | 
WARN   | wrapper  | 2016/02/23 16:01:13 | The configured wrapper.java.command could not be found, attempting to launch anyway: /usr/lib/jvm/java-7-openjdk-i386/jre/bin/java
STATUS | wrapper  | 2016/02/23 16:01:13 | Launching a JVM...
ERROR  | wrapper  | 2016/02/23 16:01:13 | JVM exited while loading the application.
ERROR  | wrapper  | 2016/02/23 16:01:13 | Unable to start JVM: No such file or directory (2)
INFO   | jvm 1    | 2016/02/23 16:01:13 | wrapper  | --> Wrapper Started as Daemon
INFO   | jvm 1    | 2016/02/23 16:01:13 | wrapper  | Java Service Wrapper Community Edition 32-bit 3.5.25
INFO   | jvm 1    | 2016/02/23 16:01:13 | wrapper  |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
INFO   | jvm 1    | 2016/02/23 16:01:13 | wrapper  |     http://wrapper.tanukisoftware.com
INFO   | jvm 1    | 2016/02/23 16:01:13 | wrapper  | 
INFO   | jvm 1    | 2016/02/23 16:01:13 | wrapper  | The configured wrapper.java.command could not be found, attempting to launch anyway: /usr/lib/jvm/java-7-openjdk-i386/jre/bin/java
INFO   | jvm 1    | 2016/02/23 16:01:13 | wrapper  | Launching a JVM...
ADVICE | wrapper  | 2016/02/23 16:01:13 | 
ADVICE | wrapper  | 2016/02/23 16:01:13 | ------------------------------------------------------------------------
ADVICE | wrapper  | 2016/02/23 16:01:13 | Advice:
ADVICE | wrapper  | 2016/02/23 16:01:13 | Usually when the Wrapper fails to start the JVM process, it is because
ADVICE | wrapper  | 2016/02/23 16:01:13 | of a problem with the value of the configured Java command.  Currently:
ADVICE | wrapper  | 2016/02/23 16:01:13 | wrapper.java.command=/usr/lib/jvm/java-7-openjdk-i386/jre/bin/java
ADVICE | wrapper  | 2016/02/23 16:01:13 | Please make sure that the PATH or any other referenced environment
ADVICE | wrapper  | 2016/02/23 16:01:13 | variables are correctly defined for the current environment.
ADVICE | wrapper  | 2016/02/23 16:01:13 | ------------------------------------------------------------------------
ADVICE | wrapper  | 2016/02/23 16:01:13 | 
