2016-02-23 15:47:50,011 [main] INFO  (Configuration.java [<init>]:183) - Reading configuration from file /vagrant/exist/conf.xml 
2016-02-23 15:47:50,091 [main] INFO  (Configuration.java [configureStartup]:1258) - Registered StartupTrigger: org.exist.extensions.exquery.restxq.impl.RestXqStartupTrigger 
2016-02-23 15:47:50,093 [main] INFO  (Configuration.java [configureStartup]:1258) - Registered StartupTrigger: org.exist.repo.AutoDeploymentTrigger 
2016-02-23 15:47:50,605 [main] ERROR (Configuration.java [lookupModuleClass]:457) - Configuration problem: class not found for module 'http://exist-db.org/xquery/context' (ClassNotFoundException); class:'org.exist.xquery.modules.context.ContextModule'; message:'org.exist.xquery.modules.context.ContextModule' 
2016-02-23 15:47:50,649 [main] ERROR (Configuration.java [lookupModuleClass]:457) - Configuration problem: class not found for module 'http://exist-db.org/xquery/versioning/svn' (ClassNotFoundException); class:'org.exist.versioning.svn.xquery.SVNModule'; message:'org.exist.versioning.svn.xquery.SVNModule' 
2016-02-23 15:47:50,655 [main] INFO  (eXistURLStreamHandlerFactory.java [init]:53) - Succesfully registered eXistURLStreamHandlerFactory. 
2016-02-23 15:47:50,660 [main] INFO  (Configuration.java [configureValidation]:1515) - Add catalog uri file:/vagrant/exist/webapp//WEB-INF/catalog.xml 
2016-02-23 15:47:50,661 [main] INFO  (GrammarPool.java [<init>]:53) - Initializing GrammarPool. 
2016-02-23 15:47:50,677 [main] INFO  (BrokerPool.java [<init>]:670) - database instance 'exist' will have between 1 and 20 brokers 
2016-02-23 15:47:50,679 [main] INFO  (BrokerPool.java [<init>]:679) - database instance 'exist' will be synchronized every 120,000 ms 
2016-02-23 15:47:50,680 [main] INFO  (BrokerPool.java [<init>]:686) - database instance 'exist' will wait  120,000 ms during shutdown 
2016-02-23 15:47:50,680 [main] INFO  (BrokerPool.java [<init>]:692) - database instance 'exist' is enabled for transactions : true 
2016-02-23 15:47:50,763 [main] INFO  (QuartzSchedulerImpl.java [getQuartzProperties]:114) - Succesfully loaded quartz.properties 
2016-02-23 15:47:50,981 [main] INFO  (DefaultCacheManager.java [<init>]:151) - Cache settings: 131,072k; totalPages: 32,768; maxCacheSize: 29,491; cacheShrinkThreshold: 10,000 
2016-02-23 15:47:51,024 [main] INFO  (XQueryPool.java [<init>]:120) - QueryPool: size = 128; maxStackSize = 5; timeout = 120,000; timeoutCheckInterval = 30,000 
2016-02-23 15:47:51,156 [main] INFO  (IndexManager.java [initIndex]:99) - Registered index org.exist.indexing.ngram.NGramIndex as ngram-index 
2016-02-23 15:47:51,752 [main] INFO  (IndexManager.java [initIndex]:99) - Registered index org.exist.indexing.lucene.LuceneIndex as lucene-index 
2016-02-23 15:47:51,759 [main] INFO  (IndexManager.java [initIndex]:99) - Registered index org.exist.indexing.sort.SortIndex as sort-index 
2016-02-23 15:47:51,846 [main] INFO  (IndexManager.java [initIndex]:99) - Registered index org.exist.indexing.range.RangeIndex as range-index 
2016-02-23 15:47:51,850 [main] INFO  (IndexManager.java [initIndex]:99) - Registered index org.exist.storage.structural.NativeStructuralIndex as structural-index 
2016-02-23 15:47:52,211 [main] INFO  (NativeBroker.java [sync]:3588) - Memory: 63,360K total; 760,256K max; 41,155K free 
2016-02-23 15:47:52,211 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,212 [main] INFO  (DOMFile.java [printStatistics]:1360) - dom.dbx DATA Buffers occupation : 0% (1 out of 256) Cache efficiency : 100% 
